,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04062929153442383,0.0031253337860107423,0.6631878557874763,0.6631877800453132,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",145,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.007654947485629265,0.0062506675720214845,0.0006400248824124762,0.00015966447971305087
1,0.05625619888305664,0.003125429153442383,0.7485768500948766,0.7516618598663091,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",97,0.8246445497630331,0.7437722419928826,0.7772511848341233,0.7437722419928826,0.6682464454976303,0.7734282325029656,0.7298578199052133,0.7520759193357058,0.7428571428571429,0.745260663507109,0.02119696068419002,0.006250858306884766,0.05187909799994369,0.011308526678647422
2,0.0656325340270996,0.003125286102294922,0.6574952561669829,0.6828585563857359,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",163,0.7298578199052133,0.7319098457888493,0.45023696682464454,0.5765124555160143,0.7014218009478673,0.6986951364175563,0.6587677725118484,0.6559905100830368,0.7476190476190476,0.7511848341232228,0.030301107413606816,0.006250572204589844,0.10794677243429587,0.06222007967045595
3,0.05625591278076172,0.0031253337860107423,0.784629981024668,0.7945944578435176,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",64,0.8767772511848341,0.8113879003558719,0.7393364928909952,0.7520759193357058,0.7345971563981043,0.7924080664294187,0.8151658767772512,0.8327402135231317,0.7571428571428571,0.7843601895734598,0.018751772257056758,0.0062506675720214845,0.05430337147546473,0.0270350330462679
4,0.1121835708618164,0.0,0.8282732447817837,0.8432201627003536,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",9,0.8957345971563981,0.8386714116251482,0.8815165876777251,0.8493475682087782,0.8199052132701422,0.8517200474495848,0.7061611374407583,0.8493475682087782,0.8380952380952381,0.8270142180094787,0.030620597741939024,0.0,0.0670590860375965,0.00928075446229924
5,0.0656315803527832,0.0,0.7666034155597723,0.79031500002811,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",89,0.8341232227488151,0.7580071174377224,0.8009478672985783,0.7769869513641756,0.6872037914691943,0.7829181494661922,0.7345971563981043,0.8113879003558719,0.7761904761904762,0.8222748815165877,0.015310644376346126,0.0,0.05132470608015734,0.023416450242849118
6,0.0593815803527832,0.0,0.7305502846299811,0.760421199395074,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",121,0.6966824644549763,0.7034400948991696,0.7156398104265402,0.708185053380783,0.6540284360189573,0.7236061684460261,0.7867298578199052,0.8422301304863582,0.8,0.8246445497630331,0.02500299812012223,0.0,0.05512875263508741,0.06024640680167239
7,0.09074296951293945,0.0,0.818785578747628,0.8403675656226633,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",21,0.909952606635071,0.8244365361803084,0.8104265402843602,0.8137603795966786,0.8056872037914692,0.8540925266903915,0.7298578199052133,0.8588374851720048,0.8380952380952381,0.8507109004739336,0.018342328350739335,0.0,0.05804839322861425,0.017878686236017665
8,0.08783292770385742,0.003125286102294922,0.825426944971537,0.8346753020413441,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",10,0.8862559241706162,0.8078291814946619,0.8009478672985783,0.8268090154211151,0.8388625592417062,0.8564650059311981,0.7914691943127962,0.8386714116251482,0.8095238095238095,0.8436018957345972,0.03595802282021071,0.006250572204589844,0.03432296274408152,0.01645014781682101
9,0.025447940826416014,0.00020051002502441406,0.6631878557874763,0.6631877800453132,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",145,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.008037954605634461,0.0004010200500488281,0.0006400248824124762,0.00015966447971305087
10,0.03721427917480469,0.0,0.7371916508538899,0.7500002810994361,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",113,0.8009478672985783,0.734282325029656,0.7393364928909952,0.7425860023724793,0.6445497630331753,0.7568208778173191,0.7440758293838863,0.767497034400949,0.7571428571428571,0.7488151658767772,0.007917016488145235,0.0,0.05120147559319978,0.011455017117625955
11,0.04375472068786621,0.0,0.6584440227703985,0.6698453390902498,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",161,0.7582938388625592,0.7153024911032029,0.7582938388625592,0.7058125741399762,0.6208530805687204,0.67497034400949,0.6161137440758294,0.6512455516014235,0.5380952380952381,0.6018957345971564,0.011693558675540129,0.0,0.08671300359732412,0.04086407025021014
12,0.06875748634338379,0.0,0.7628083491461101,0.7891338201975567,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",93,0.7962085308056872,0.7769869513641756,0.8151658767772512,0.7900355871886121,0.7109004739336493,0.797153024911032,0.7156398104265402,0.7805456702253856,0.7761904761904762,0.8009478672985783,0.012463869488137852,0.0,0.04233889378590338,0.009230333463616637
13,0.06563220024108887,0.0,0.8055028462998103,0.8171231721509168,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",33,0.8293838862559242,0.8042704626334519,0.8104265402843602,0.7852906287069988,0.8293838862559242,0.8232502965599051,0.7772511848341233,0.8469750889679716,0.780952380952381,0.8258293838862559,0.00625069148549418,0.0,0.022650861699239216,0.020894878214554838
14,0.037505388259887695,0.006248998641967774,0.7722960151802657,0.7748986636532808,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",80,0.8293838862559242,0.7627520759193357,0.8104265402843602,0.7746144721233689,0.7203791469194313,0.7520759193357058,0.7203791469194313,0.7829181494661922,0.780952380952381,0.8021327014218009,0.02119607511582726,0.00765342960292029,0.04513960283595258,0.01717267004557048
15,0.04062943458557129,0.0031253814697265623,0.7874762808349146,0.8109561316220001,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",59,0.8578199052132701,0.8185053380782918,0.8436018957345972,0.8102016607354685,0.7203791469194313,0.7876631079478055,0.7582938388625592,0.8185053380782918,0.7571428571428571,0.8199052132701422,0.007655258925148602,0.006250762939453125,0.05363084539390088,0.01214249790438329
16,0.044176769256591794,0.0,0.801707779886148,0.8118980958324198,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",41,0.9052132701421801,0.7829181494661922,0.8104265402843602,0.7912218268090154,0.7109004739336493,0.7722419928825622,0.7488151658767772,0.863582443653618,0.8333333333333334,0.8495260663507109,0.022939786169470292,0.0,0.0676019127614879,0.037221197907416424
17,0.062303686141967775,0.00939321517944336,0.7998102466793169,0.8168876108234526,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",48,0.8388625592417062,0.8173190984578885,0.8246445497630331,0.8185053380782918,0.7914691943127962,0.8137603795966786,0.7345971563981043,0.8161328588374852,0.8095238095238095,0.8187203791469194,0.017120251100746515,0.007669593009635114,0.036233338837819186,0.0018172225226018143
18,0.04062938690185547,0.0,0.6612903225806451,0.6627132841971519,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",157,0.6635071090047393,0.6631079478054567,0.6587677725118484,0.6619217081850534,0.6587677725118484,0.6631079478054567,0.6635071090047393,0.6619217081850534,0.6619047619047619,0.6635071090047393,0.007655414653076943,0.0,0.002142536065133738,0.0006625498801510917
19,0.034378576278686526,0.0,0.6726755218216319,0.6795539514147734,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",141,0.6872037914691943,0.6714116251482799,0.6872037914691943,0.6654804270462633,0.6208530805687204,0.7153024911032029,0.7109004739336493,0.6654804270462633,0.6571428571428571,0.6800947867298578,0.006250715274834508,0.0,0.03102752473329657,0.018658382813231077
20,0.03437848091125488,0.0,0.4601518026565465,0.4674964722020768,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 7}",180,0.3696682464454976,0.37959667852906287,0.2938388625592417,0.39383155397390274,0.4881516587677725,0.49940688018979834,0.6255924170616114,0.5622775800711743,0.5238095238095238,0.5023696682464455,0.018223417590784503,0.0,0.11670433269054493,0.06981513625927734
21,0.059554100036621094,0.003125429153442383,0.6802656546489564,0.7060947979738351,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 10}",137,0.7156398104265402,0.66785290628707,0.5639810426540285,0.5539739027283511,0.6445497630331753,0.7117437722419929,0.7298578199052133,0.7864768683274022,0.7476190476190476,0.8104265402843602,0.032059353095364916,0.006250858306884766,0.06789001864021062,0.09163133705040839
22,0.06554646492004394,0.0,0.7438330170777988,0.7544984342761408,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 15}",108,0.7582938388625592,0.7378410438908659,0.7819905213270142,0.7378410438908659,0.7203791469194313,0.7580071174377224,0.7251184834123223,0.7497034400948992,0.7333333333333333,0.7890995260663507,0.006074453130816531,0.0,0.02314168214929433,0.018907541821696097
23,0.06250414848327637,0.0031251430511474608,0.7352941176470589,0.7540365879026047,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 20}",117,0.8199052132701422,0.7319098457888493,0.7582938388625592,0.7366548042704626,0.7345971563981043,0.7781731909845789,0.6635071090047393,0.7876631079478055,0.7,0.735781990521327,0.013978410605971322,0.0062502861022949215,0.053094286542137055,0.023825481749768875
