,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.21306314468383789,0.0008020877838134765,0.21981079577072898,0.23447033343826681,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",103,0.489010989010989,0.4612700628053036,0.07458563535911603,0.08153310104529617,0.30919220055710306,0.35952712100139084,0.15406162464985995,0.18541666666666667,0.0676056338028169,0.08460471567267684,0.06390342617974387,0.00024551545595180444,0.1611187285342984,0.15187697654390678
11,0.19800953865051268,0.0007020950317382813,0.12910406232609906,0.1351972497055002,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",158,0.12912087912087913,0.1297976273551989,0.11602209944751381,0.1024390243902439,0.12256267409470752,0.14534075104311545,0.14565826330532214,0.1527777777777778,0.1323943661971831,0.14563106796116504,0.01185952339436731,0.0002458073766706199,0.009980214124716164,0.018017144043435743
12,0.2984463214874268,0.0009024143218994141,0.1407902058987201,0.14986330921897195,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",145,0.09065934065934066,0.10886252616887648,0.09392265193370165,0.08780487804878048,0.09192200557103064,0.11126564673157163,0.24369747899159663,0.2375,0.18591549295774648,0.20388349514563106,0.09893866758440888,0.00020062925556339146,0.06272754108791498,0.0593640677482903
13,0.3704428195953369,0.0009026050567626954,0.37117417918753476,0.3716526772859318,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",55,0.7445054945054945,0.7096999302163294,0.17403314917127072,0.14773519163763066,0.6685236768802229,0.7343532684283728,0.11764705882352941,0.1284722222222222,0.14366197183098592,0.13800277392510402,0.12966130965092723,0.0002004862611366508,0.2769834319560265,0.2862501407767125
14,0.3441451072692871,0.0008027553558349609,0.29827490261547024,0.3005540299986683,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",66,0.21428571428571427,0.20376831821353802,0.13812154696132597,0.1372822299651568,0.19498607242339833,0.1898470097357441,0.7030812324929971,0.7201388888888889,0.24507042253521127,0.25173370319001387,0.050288174978791546,0.00024557446968260854,0.2045511073232814,0.2129394642366994
15,0.4239907741546631,0.0008018970489501953,0.3622704507512521,0.3723508963781895,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",56,0.21428571428571427,0.17236566643405443,0.08011049723756906,0.0843205574912892,0.6991643454038997,0.7670375521557719,0.7338935574229691,0.7201388888888889,0.08732394366197183,0.11789181692094314,0.108387783333265,0.00024555421974653687,0.2924355459236435,0.3047750105953093
16,0.43526515960693357,0.0010030746459960937,0.2877017250973845,0.2936046701082575,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",70,0.18406593406593408,0.2030704815073273,0.143646408839779,0.13867595818815331,0.6601671309192201,0.6849791376912379,0.19327731092436976,0.17569444444444443,0.2591549295774648,0.2656033287101248,0.07780697508922096,4.862803948967729e-07,0.18974580566555166,0.2000301054316069
17,0.459841251373291,0.001215362548828125,0.30272676683361155,0.3271221608229376,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",64,0.13186813186813187,0.11165387299371947,0.40607734806629836,0.46689895470383275,0.18384401114206128,0.21835883171070933,0.19887955182072828,0.20208333333333334,0.5971830985915493,0.636615811373093,0.09892675803884145,0.00041016113786218795,0.17366495152728653,0.19453258083832056
18,0.13701777458190917,0.0006013870239257813,0.10684474123539232,0.10727616303290055,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",173,0.10714285714285714,0.10118632240055828,0.11049723756906077,0.13867595818815331,0.10027855153203342,0.10083449235048679,0.12605042016806722,0.08819444444444445,0.09014084507042254,0.10748959778085991,0.015735284786710508,0.00020010473474506765,0.011820264498514784,0.01690376262599838
19,0.22263555526733397,0.0008021354675292969,0.14969393433500278,0.17099361770269744,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",131,0.10164835164835165,0.11235170969993022,0.1270718232044199,0.17909407665505225,0.10027855153203342,0.09874826147426982,0.10084033613445378,0.10208333333333333,0.3211267605633803,0.36269070735090153,0.053034276676438494,0.0002457489184932245,0.08566527502283941,0.10022004168575707
