,Biodeg log-likelihood,Digits log-likelihood
2,-13.810429255266063,5.9170180758992705
5,-6.359101062015544,38.40772153000507
10,-1.0137152222345558,50.53140078392261
15,0.11401484881502325,55.31225303290325
20,2.214064554912799,65.26254650089145
25,3.8802927272481993,74.1666941288837
30,5.880031963049405,84.23625978078327
35,6.450855982490869,90.2651046495162
40,8.546534011553318,101.70692492439086
