,Biodeg SSE (left),Digits SSE (left)
2,13894.228015008346,97886.32495687887
5,10101.864338301519,82323.37652315613
10,7254.059046849429,67254.7224102431
15,5785.467378529864,58390.24155876774
20,4869.554123469685,51714.85508332771
25,4236.060746617302,47506.5001606757
30,3777.2614929349434,43654.28071209235
35,3450.4829197841036,41208.7122636276
40,3228.8191617234925,38830.17249263195
