,0,1,2,3,4,5,6,7,8,9
2,0.9400126072809658,0.95251281810644,0.9281673155370809,0.9550716060150765,0.9404145845749151,0.9541510771276627,0.9579958063655333,0.9506792926730124,0.9328022504055425,0.9553053952654824
5,0.8636540740169405,0.876164016267111,0.8661621835524254,0.8813044946214037,0.8841120718966301,0.8453336057221053,0.8789176219859431,0.8751304492036155,0.8878281474698794,0.8857631463658109
7,0.8609644032039506,0.817232460420145,0.8371128952156275,0.8048483483411548,0.8401243516899648,0.8424275919094693,0.8410372401752187,0.8310360261434632,0.8331503718289415,0.8492222399596093
10,0.7932112184621013,0.7714549691047463,0.7874900356787367,0.7315334365860096,0.7358529359334256,0.7479596841571431,0.723344347224899,0.7615978234214379,0.7509123732612655,0.7769880941075289
15,0.5970886575015194,0.6276990356103712,0.6469294554410641,0.650280181257546,0.6210317807438747,0.6516242918785137,0.6780031439037058,0.6659391107496615,0.6366573036103901,0.6616853815733555
20,0.4862603986697684,0.4741028604842454,0.5083665693967703,0.529068872617538,0.5164699202790718,0.4948571714807868,0.5288703209289641,0.5321777264624631,0.5231460231831169,0.48059936550422444
25,0.40746279777948213,0.4283085502730853,0.39891190513085467,0.3712995897910068,0.37476375107027116,0.39743171066667693,0.4124037056066993,0.4134375203694513,0.37444268657065627,0.38896214232978943
30,0.31006792373146413,0.24259351668844167,0.25035807006073507,0.26489187076468396,0.2522099652984197,0.25532461442514937,0.2693087224712506,0.252844652113507,0.2705240400035186,0.2829042586171492
35,0.11512397955767209,0.14982253527512623,0.1568197088297885,0.12768466780501053,0.1390020986833482,0.13506577636843986,0.15123540154714993,0.131147914878366,0.18171078623464984,0.1482419265028998
