,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.06283378601074219,0.0006683667500813802,0.6631878557874763,0.6631881544162246,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",80,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.004933943103160661,0.00023647191804512278,0.0008894169833441252,0.0004451303665783735
1,0.0800466537475586,0.0005012353261311849,0.6698292220113852,0.6674616586897288,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",62,0.6818181818181818,0.6766381766381766,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.009707174241928773,4.052336624139774e-07,0.008489542364623905,0.006488778069027476
2,0.17589712142944336,0.000835577646891276,0.6631878557874763,0.6627139960473294,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",80,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.6614509246088194,0.6638176638176638,0.662873399715505,0.029036589664588955,0.00023630335069714186,0.0008894169833441252,0.0009727695060123551
3,0.17095351219177246,0.0010027885437011719,0.6821631878557874,0.6869325465816694,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",50,0.7414772727272727,0.7407407407407407,0.6410256410256411,0.6571834992887624,0.6638176638176638,0.662873399715505,0.02950855349877154,3.8933590933214475e-07,0.04301847506764971,0.0381189809299934
4,0.1755699316660563,0.00033410390218098957,0.6546489563567363,0.6456442947671018,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",117,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6381766381766382,0.6102418207681366,0.04550322117281479,0.00023624721505637842,0.011664847340228063,0.025036297418071646
5,0.1947798728942871,0.0006697177886962891,0.6869070208728653,0.6826428317656387,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",34,0.7244318181818182,0.6937321937321937,0.6581196581196581,0.6813655761024182,0.6780626780626781,0.6728307254623044,0.03793819209225802,0.00023770822560144233,0.027790025393195365,0.008580651897582132
6,0.2108445167541504,0.0008354981740315756,0.7201138519924098,0.7277229996528242,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",8,0.7329545454545454,0.7678062678062678,0.7635327635327636,0.7524893314366998,0.6638176638176638,0.662873399715505,0.022364423315437133,0.0002360785675241707,0.041692778980281585,0.04627998195015577
7,0.23199772834777832,0.0008348623911539713,0.6944971537001897,0.7030174574034224,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",28,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.7578347578347578,0.7823613086770982,0.03417906017697688,0.00023613482349852318,0.04476120895085303,0.056105899629647106
8,0.2585347493489583,0.001512606938680013,0.6698292220113852,0.6935525268858602,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",62,0.7159090909090909,0.7022792022792023,0.6296296296296297,0.7155049786628734,0.6638176638176638,0.662873399715505,0.03113043764566851,0.0007028632639704789,0.03548690843831392,0.022355266690258044
9,0.048796494801839195,0.0006698767344156901,0.642314990512334,0.6622391622391622,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",127,0.6619318181818182,0.6623931623931624,0.6011396011396012,0.6614509246088194,0.6638176638176638,0.662873399715505,0.006145131574969008,0.00023810177523946472,0.029104871060280136,0.0005908445327715738
10,0.07937121391296387,0.0006690025329589844,0.6413662239089184,0.6403968070634737,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",133,0.6022727272727273,0.5968660968660968,0.6581196581196581,0.6614509246088194,0.6638176638176638,0.662873399715505,0.006345222115018466,0.0002365297360256142,0.027780098717760764,0.030786337950171935
11,0.11412851015726726,0.0006731351216634115,0.5891840607210627,0.5749946978017153,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",169,0.6619318181818182,0.6638176638176638,0.5698005698005698,0.5704125177809388,0.5356125356125356,0.4907539118065434,0.01522064446797096,0.00024338402066378026,0.053369239232506895,0.07072723589183426
12,0.17924968401590982,0.001838366190592448,0.6622390891840607,0.6608173625717485,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",100,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6609686609686609,0.6557610241820768,0.03372944060726741,0.0018907638199967209,0.0011827348001408786,0.0035960929823729004
