,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1245391845703125,0.0019052505493164062,0.1213132999443517,0.1371480539692543,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",147,0.1043956043956044,0.12002791346824843,0.10220994475138122,0.12613240418118468,0.116991643454039,0.12239221140472879,0.18207282913165265,0.19236111111111112,0.10140845070422536,0.12482662968099861,0.03100611757408885,0.0010712392964644369,0.03077182508762634,0.027685656272726518
1,0.17917709350585936,0.0020055770874023438,0.36115748469671677,0.38353104870808996,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",111,0.3241758241758242,0.35450104675505933,0.27348066298342544,0.3749128919860627,0.4373259052924791,0.41307371349095967,0.43137254901960786,0.3958333333333333,0.3408450704225352,0.37933425797503467,0.014441968022361987,0.0005491198206182751,0.0636049232886647,0.019792634693789272
2,0.4793419361114502,0.002306032180786133,0.5414579855314413,0.5976058521753075,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",73,0.4725274725274725,0.5491974877878576,0.5220994475138122,0.5853658536585366,0.5793871866295265,0.614047287899861,0.5742296918767507,0.6208333333333333,0.5605633802816902,0.6185852981969486,0.19762111633203833,0.00024532061825971945,0.04013496472775207,0.027361144535142184
3,0.46865334510803225,0.002807140350341797,0.6438508625486923,0.6933912163677973,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",41,0.6263736263736264,0.6489881367759944,0.6519337016574586,0.7616724738675958,0.7604456824512534,0.8025034770514604,0.4481792717086835,0.4840277777777778,0.7323943661971831,0.7697642163661581,0.14087729224987974,0.00024586571922207036,0.10929781044738122,0.11679497727340499
4,0.4716458797454834,0.004117107391357422,0.7395659432387313,0.7997182124868918,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",1,0.7005494505494505,0.6999302163293789,0.6464088397790055,0.8153310104529616,0.766016713091922,0.8421418636995828,0.8011204481792717,0.7965277777777777,0.7859154929577464,0.8446601941747572,0.25103928167951134,0.0005838334190112948,0.0580814898189685,0.05297382450105473
5,0.4204997539520264,0.005741691589355469,0.7267668336115748,0.7940667493764488,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",9,0.6538461538461539,0.7138869504535938,0.6657458563535912,0.8271777003484321,0.7381615598885793,0.8365785813630042,0.84593837535014,0.8298611111111112,0.7323943661971831,0.7628294036061026,0.09526254493935384,0.0027207598800120295,0.06841633829968208,0.048144364553288424
6,0.36249361038208006,0.004712390899658203,0.7050639955481358,0.8234821626354542,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",21,0.6730769230769231,0.8227494766224703,0.5939226519337016,0.848780487804878,0.7158774373259053,0.8331015299026425,0.8403361344537815,0.8138888888888889,0.704225352112676,0.7988904299583911,0.040921295193500254,0.0005114642447833205,0.07971434014738887,0.01691069796921021
7,0.4048759937286377,0.005609035491943359,0.6616583194212576,0.8461244843756788,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",33,0.6675824175824175,0.8213538032100488,0.5386740331491713,0.8634146341463415,0.6211699164345403,0.8602225312934632,0.8291316526610645,0.8402777777777778,0.6535211267605634,0.8453536754507628,0.11724900774143608,0.0005907758764283342,0.09469214420158649,0.0151398082936209
8,0.4630295753479004,0.008422565460205079,0.6115748469671675,0.850153509358423,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",63,0.6043956043956044,0.8220516399162596,0.5027624309392266,0.8578397212543554,0.596100278551532,0.872739916550765,0.7563025210084033,0.85625,0.6,0.841886269070735,0.11459979987822347,0.0037702051790247104,0.08143188127104181,0.01711404785215381
9,0.07149004936218262,0.0009027481079101563,0.1018363939899833,0.10183626058684452,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",165,0.10164835164835165,0.10188415910676901,0.10220994475138122,0.10174216027874565,0.10306406685236769,0.10152990264255911,0.10084033613445378,0.10208333333333333,0.10140845070422536,0.10194174757281553,0.014775869033155656,0.00020067750579006452,0.0007547535698188662,0.00018824280729356718
10,0.15140552520751954,0.0018048286437988281,0.15692821368948248,0.16030247556374916,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",135,0.1978021978021978,0.19748778785764132,0.10497237569060773,0.10522648083623694,0.28969359331476324,0.28720445062586925,0.03081232492997199,0.059027777777777776,0.16056338028169015,0.15256588072122051,0.03328546535844203,0.0002456710667660305,0.08698285995389475,0.07853234140363252
