,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.24631857872009277,0.00020060539245605468,0.4657762938230384,0.4908609210292655,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",248,0.40384615384615385,0.4026517794836008,0.5027624309392266,0.5282229965156794,0.4623955431754875,0.44645340751043117,0.5014005602240896,0.5,0.4591549295774648,0.5769764216366158,0.06203720952669927,0.00040121078491210936,0.03627020255120467,0.06107078974941935
1,0.3946701526641846,0.00023012161254882814,0.765164162493044,0.7977349609604534,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",221,0.8186813186813187,0.8115840893230984,0.7403314917127072,0.7993031358885018,0.7604456824512534,0.7941585535465925,0.8235294117647058,0.7965277777777777,0.6816901408450704,0.7871012482662968,0.10402294572289891,0.00046024322509765627,0.05255562159755834,0.008019742588117159
2,0.4510303497314453,0.0,0.8324986087924319,0.8958099044142186,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",198,0.8516483516483516,0.9030006978367062,0.7983425414364641,0.90801393728223,0.8356545961002786,0.8852573018080667,0.8851540616246498,0.8826388888888889,0.7915492957746478,0.9001386962552012,0.13696694944482737,0.0,0.03454513350148692,0.010042085827384584
3,0.30461721420288085,0.0,0.8686700055648303,0.9178635743117404,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",136,0.8516483516483516,0.8674110258199581,0.8674033149171271,0.9017421602787457,0.8662952646239555,0.9457579972183588,0.9523809523809523,0.9472222222222222,0.8056338028169014,0.9271844660194175,0.08889865680316228,0.0,0.04729976347338394,0.0301073668672305
4,0.2889871120452881,0.0,0.8792431830829159,0.9266844341906462,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",101,0.9313186813186813,0.9553384508025122,0.7928176795580111,0.8787456445993032,0.9108635097493036,0.9408901251738526,0.9327731092436975,0.9409722222222222,0.828169014084507,0.9174757281553398,0.08650016578131584,0.0,0.0577782923933721,0.026869771214010893
5,0.35855793952941895,0.0031284332275390626,0.9020589872008904,0.9536885199792664,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",66,0.9010989010989011,0.95324494068388,0.9033149171270718,0.9686411149825784,0.935933147632312,0.9666203059805285,0.9215686274509803,0.9340277777777778,0.847887323943662,0.9459084604715673,0.08688879845568463,0.006256866455078125,0.029750396912101688,0.0129466757043153
6,0.29827055931091306,0.0031251430511474608,0.8931552587646077,0.9416784988023416,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",78,0.8736263736263736,0.9127704117236567,0.8922651933701657,0.9331010452961672,0.9025069637883009,0.9603616133518776,0.957983193277311,0.9569444444444445,0.8394366197183099,0.9452149791955617,0.05004424803958746,0.0062502861022949215,0.0387282169830361,0.017342806960753316
7,0.3344106674194336,0.0,0.8987200890372844,0.9546293467300433,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",67,0.9093406593406593,0.9595254710397767,0.8535911602209945,0.9310104529616725,0.9025069637883009,0.9617524339360223,0.9411764705882353,0.9388888888888889,0.8873239436619719,0.9819694868238558,0.04485942707865091,0.0,0.02863112931084498,0.01804332464287211
8,0.4071832180023193,0.0,0.9115191986644408,0.9758074422388011,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",25,0.9285714285714286,0.988834612700628,0.9116022099447514,0.9742160278745644,0.9052924791086351,0.9742698191933241,0.9439775910364145,0.9777777777777777,0.8676056338028169,0.9639389736477115,0.10869752059205982,0.0,0.025630218185824793,0.007991831121639275
9,0.35939507484436034,0.0031250476837158202,0.8970506399554814,0.9645274432153148,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 45}",69,0.9203296703296703,0.9651081646894627,0.8812154696132597,0.9867595818815331,0.8690807799442897,0.9235048678720446,0.9439775910364145,0.9777777777777777,0.8704225352112676,0.9694868238557559,0.10149151393370053,0.006250095367431641,0.029902062926856862,0.0218065299268488
10,0.4102658271789551,0.0,0.9115191986644408,0.9794080131718562,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 50}",25,0.9175824175824175,0.9790648988136776,0.8867403314917127,0.9777003484320558,0.9220055710306406,0.9819193324061196,0.9439775910364145,0.9743055555555555,0.8873239436619719,0.9840499306518724,0.02547871063164232,0.0,0.021864418982555978,0.003374108541234321
