,Biodeg log-likelihood,Digits log-likelihood
2,-18.749040753727805,-19.138764441302715
5,-1.7526221329190526,-5.8840465534214115
10,-1.9359134156042808,8.267258838291543
15,16.224015719735352,20.39211677480813
20,28.855029340048425,26.71473798759987
25,39.78565470119766,42.07619648700879
30,43.48622896594756,47.19686253101309
35,54.02857447109974,56.90915285512258
40,58.62009855187906,65.36137817416764
