,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3,0.5591214179992676,0.003125762939453125,0.6010016694490818,0.645563997425985,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",46,0.5,0.5826936496859735,0.6022099447513812,0.6348432055749129,0.48467966573816157,0.5897079276773296,0.7927170868347339,0.7347222222222223,0.6281690140845071,0.6858529819694869,0.09263096729360708,0.00625152587890625,0.11053281315886362,0.05789630014948028
4,0.4601102828979492,0.0033578872680664062,0.6855870895937674,0.7121585656277124,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",17,0.7197802197802198,0.7090020935101187,0.643646408839779,0.7393728222996516,0.6128133704735376,0.6933240611961057,0.7086834733893558,0.6666666666666666,0.7436619718309859,0.7524271844660194,0.07142971022326046,0.0067157745361328125,0.04920829687876355,0.030972220371960422
5,0.5656688690185547,0.012502288818359375,0.6844741235392321,0.7280185720839235,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",20,0.7060439560439561,0.6936496859734822,0.6270718232044199,0.7456445993031359,0.7019498607242339,0.778164116828929,0.7254901960784313,0.7194444444444444,0.6619718309859155,0.7031900138696255,0.12979785518873305,0.00625114472198858,0.03540161962688557,0.03064782469787086
6,0.47435727119445803,0.009375476837158203,0.7195325542570952,0.7636618148659611,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",2,0.8324175824175825,0.7376133984647593,0.7099447513812155,0.8209059233449477,0.6128133704735376,0.778164116828929,0.8151260504201681,0.7520833333333333,0.6253521126760564,0.7295423023578363,0.09985530509742852,0.012500417242830164,0.0918841517153737,0.033057305041950945
7,0.45247783660888674,0.0031250953674316407,0.6510851419031719,0.7696216511747117,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",35,0.6153846153846154,0.7397069085833915,0.6823204419889503,0.7923344947735191,0.5710306406685237,0.8122392211404729,0.803921568627451,0.7597222222222222,0.5830985915492958,0.7441054091539528,0.09809925169106655,0.006250190734863282,0.08537412175093294,0.028199644178190302
8,0.4434817314147949,0.007453823089599609,0.5809682804674458,0.7997032172678679,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",54,0.5906593406593407,0.7815771109560363,0.6104972375690608,0.8466898954703833,0.5933147632311978,0.8511821974965229,0.6050420168067226,0.7472222222222222,0.504225352112676,0.7718446601941747,0.07023331886402771,0.007025611476810277,0.038778089344752166,0.04175342646328829
9,0.08444952964782715,0.0,0.1018363939899833,0.10183626058684452,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",165,0.10164835164835165,0.10188415910676901,0.10220994475138122,0.10174216027874565,0.10306406685236769,0.10152990264255911,0.10084033613445378,0.10208333333333333,0.10140845070422536,0.10194174757281553,0.07577374845104648,0.0,0.0007547535698188662,0.00018824280729356718
10,0.15384359359741212,0.0,0.1407902058987201,0.15421659070443394,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",137,0.1346153846153846,0.14096301465457084,0.2265193370165746,0.27665505226480835,0.10584958217270195,0.09596662030598054,0.13445378151260504,0.15625,0.10140845070422536,0.10124826629680998,0.04651358321058765,0.0,0.04523842267066667,0.06537533379297741
11,0.5421828746795654,0.0004010200500488281,0.42237061769616024,0.5079039823410513,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",83,0.3021978021978022,0.3524075366364271,0.44751381215469616,0.6418118466898954,0.6100278551532033,0.7051460361613352,0.226890756302521,0.2513888888888889,0.5267605633802817,0.5887656033287101,0.09563059070464999,0.0008020401000976562,0.14082627198716863,0.17513051331735813
12,0.5146225452423095,0.003125286102294922,0.57039510294936,0.5954094348894771,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",66,0.489010989010989,0.5826936496859735,0.5939226519337016,0.6076655052264809,0.4596100278551532,0.49235048678720444,0.7927170868347339,0.7173611111111111,0.5183098591549296,0.5769764216366158,0.05053456765182714,0.006250572204589844,0.11941694268413074,0.07231187530169657
13,0.4119083404541016,0.0,0.4373956594323873,0.46286009918830845,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",77,0.0989010989010989,0.10048848569434753,0.6187845303867403,0.7337979094076655,0.6657381615598886,0.7100139082058414,0.7030812324929971,0.6701388888888888,0.10140845070422536,0.09986130374479889,0.09474008515016816,0.0,0.2767273370267951,0.2968292811491913
14,0.5464383602142334,0.006251144409179688,0.5870895937673901,0.6419255309586089,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",51,0.6813186813186813,0.6824842986741103,0.6104972375690608,0.778397212543554,0.7019498607242339,0.7990264255910987,0.26330532212885155,0.24791666666666667,0.676056338028169,0.7018030513176144,0.11985314929111703,0.007656057068835369,0.16412020269264374,0.20188042361384154
15,0.4714511394500732,0.0031891822814941405,0.7122982749026154,0.770644698468852,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",9,0.8131868131868132,0.7704117236566643,0.7099447513812155,0.8125435540069686,0.6128133704735376,0.8178025034770514,0.8011204481792717,0.7277777777777777,0.6225352112676056,0.7246879334257975,0.08578946732172896,0.006378364562988281,0.08484814844898494,0.039822164905026956
