,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.19914894104003905,0.0031250953674316407,0.11296605453533667,0.1125729459197747,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",153,0.14835164835164835,0.1374738311235171,0.1132596685082873,0.10801393728222997,0.10306406685236769,0.11404728789986092,0.10084033613445378,0.10069444444444445,0.09859154929577464,0.10263522884882108,0.05073488054574203,0.006250190734863281,0.018527501387704606,0.013288110067599194
1,0.29970626831054686,0.0,0.1407902058987201,0.15305483793944497,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",34,0.1401098901098901,0.1584089323098395,0.1685082872928177,0.18257839721254354,0.12813370473537605,0.1474269819193324,0.11204481792717087,0.11597222222222223,0.15492957746478872,0.1608876560332871,0.0650249810437734,0.0,0.019761484317210795,0.021764434611470193
2,0.3127782344818115,0.0,0.10628825820812465,0.10600653289654857,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",164,0.1043956043956044,0.11235170969993022,0.09668508287292818,0.0975609756097561,0.10027855153203342,0.0917941585535466,0.12605042016806722,0.12291666666666666,0.10422535211267606,0.10540915395284327,0.050031079024305605,0.0,0.01024432578311686,0.010953444907808295
3,0.36075439453125,0.0,0.1302170283806344,0.1311498959620335,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",53,0.10164835164835165,0.09909281228192603,0.10220994475138122,0.12752613240418118,0.1309192200557103,0.12169680111265646,0.18487394957983194,0.1597222222222222,0.1323943661971831,0.14771151178918168,0.047500880148119054,0.0,0.030296178041759478,0.021075171293978442
4,0.35349836349487307,0.0,0.1302170283806344,0.1374907258338338,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",53,0.11263736263736264,0.11304954640614097,0.22375690607734808,0.21045296167247388,0.1532033426183844,0.15299026425591097,0.0700280112044818,0.10277777777777777,0.09014084507042254,0.10818307905686546,0.03321659971814494,0.0,0.054477064681868026,0.04055865314340071
5,0.4174433708190918,0.0031252384185791017,0.12075681691708402,0.11922531473721723,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",87,0.11263736263736264,0.10048848569434753,0.10497237569060773,0.12055749128919861,0.1894150417827298,0.16968011126564672,0.0700280112044818,0.09375,0.1267605633802817,0.11165048543689321,0.03245179735262067,0.0062504768371582035,0.039033975945838205,0.026851069437033304
6,0.40123538970947265,0.0,0.10072342793544797,0.10503427220225695,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",172,0.12362637362637363,0.1270062805303559,0.08839779005524862,0.0975609756097561,0.0807799442896936,0.05146036161335188,0.10644257703081232,0.1326388888888889,0.10422535211267606,0.11650485436893204,0.02489006916867641,0.0,0.015007881038149573,0.029333845044166484
7,0.4585874557495117,0.0,0.11352253756260434,0.1314832807622858,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",147,0.13186813186813187,0.1332868108862526,0.15193370165745856,0.16585365853658537,0.09749303621169916,0.10152990264255911,0.09243697478991597,0.11388888888888889,0.09295774647887324,0.14285714285714285,0.05224322823543623,0.0,0.02426101259147495,0.022453096955150416
8,0.47323317527770997,0.0,0.1296605453533667,0.14272134373293538,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",56,0.0989010989010989,0.10397766922540126,0.13812154696132597,0.1818815331010453,0.15041782729805014,0.14534075104311545,0.12324929971988796,0.11527777777777778,0.13802816901408452,0.16712898751733704,0.046923620850465725,0.0,0.017724189768979437,0.02963220014710325
9,0.1717899799346924,0.0,0.11352253756260434,0.12228167750015029,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",147,0.10164835164835165,0.11444521981856245,0.10220994475138122,0.11219512195121951,0.1309192200557103,0.14394993045897078,0.12885154061624648,0.12986111111111112,0.10422535211267606,0.11095700416088766,0.0388381746079088,0.0,0.013362618295010361,0.012793419388329178
10,0.26737184524536134,0.0,0.10962715637173066,0.1175357605832618,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",156,0.10989010989010989,0.1284019539427774,0.08839779005524862,0.09686411149825784,0.09749303621169916,0.10013908205841446,0.10084033613445378,0.09930555555555555,0.15211267605633802,0.16296809986130376,0.03658469381874522,0.0,0.022184243274380854,0.025473411571064173
