,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.08438405990600586,0.0,0.7514231499051234,0.7488154469762133,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",130,0.8151658767772512,0.7330960854092526,0.7725118483412322,0.7354685646500593,0.6872037914691943,0.7627520759193357,0.7251184834123223,0.7698695136417556,0.7571428571428571,0.7428909952606635,0.05000506639550927,0.0,0.04327901809525612,0.014817827597096005
1,0.06250696182250977,0.0,0.777988614800759,0.7983926734242971,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",82,0.8720379146919431,0.7852906287069988,0.8341232227488151,0.7959667852906287,0.7251184834123223,0.7959667852906287,0.6919431279620853,0.8398576512455516,0.7666666666666667,0.7748815165876777,0.019768834564808924,0.0,0.06684938286151612,0.02216101226822218
2,0.07813162803649902,0.0,0.7988614800759013,0.8050181871335166,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",54,0.8104265402843602,0.7402135231316725,0.8293838862559242,0.763938315539739,0.8104265402843602,0.8351126927639383,0.7156398104265402,0.8374851720047449,0.8285714285714286,0.8483412322274881,0.02795554133645781,0.0,0.042454692827070865,0.04409959396306388
3,0.06250672340393067,0.0,0.8055028462998103,0.8062114542398227,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",41,0.8909952606635071,0.8090154211150652,0.8056872037914692,0.7580071174377224,0.7914691943127962,0.8386714116251482,0.7725118483412322,0.8066429418742586,0.7666666666666667,0.8187203791469194,0.026148105023476993,0.0,0.04495556739484615,0.02661514055621342
4,0.07188234329223633,0.0,0.8074003795066413,0.825424881797687,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",37,0.8909952606635071,0.8113879003558719,0.8530805687203792,0.8161328588374852,0.7535545023696683,0.8256227758007118,0.7393364928909952,0.8398576512455516,0.8,0.8341232227488151,0.03644740735007621,0.0,0.05775321427453303,0.01065254589255072
5,0.0656320571899414,0.0,0.8111954459203036,0.823056337948986,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",34,0.8862559241706162,0.8078291814946619,0.8625592417061612,0.8268090154211151,0.7819905213270142,0.8208778173190985,0.7061611374407583,0.8422301304863582,0.819047619047619,0.8175355450236966,0.006250883586223369,0.0,0.06362074478777206,0.011391297633011355
6,0.06563367843627929,0.0,0.8149905123339658,0.8263915827584851,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",28,0.919431279620853,0.8493475682087782,0.8815165876777251,0.8588374851720048,0.7535545023696683,0.8090154211150652,0.7203791469194313,0.8552787663107948,0.8,0.759478672985782,0.006250191624321892,0.0,0.07524595766126589,0.037930071744500325
7,0.10655837059020996,0.0,0.818785578747628,0.8586258172966105,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",26,0.919431279620853,0.8730723606168446,0.8578199052132701,0.8576512455516014,0.7535545023696683,0.8232502965599051,0.7156398104265402,0.8469750889679716,0.8476190476190476,0.8921800947867299,0.04406216405682275,0.0,0.07402807533355042,0.023335418915692616
8,0.06563177108764648,0.0,0.8339658444022771,0.850574286147982,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",1,0.9241706161137441,0.8481613285883749,0.8815165876777251,0.8588374851720048,0.8151658767772512,0.8446026097271648,0.7345971563981043,0.8718861209964412,0.8142857142857143,0.8293838862559242,0.00625031153455262,0.0,0.06485515470586867,0.014233700107585134
9,0.03750391006469726,0.0,0.7409867172675522,0.7405185160198567,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",131,0.7819905213270142,0.7105575326215896,0.8104265402843602,0.7402135231316725,0.6872037914691943,0.7734282325029656,0.7109004739336493,0.763938315539739,0.7142857142857143,0.7144549763033176,0.015935848066930283,0.0,0.04694890251542258,0.02533218544839264
10,0.038718557357788085,0.0,0.7409867172675522,0.7675608439729471,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",131,0.8246445497630331,0.7544483985765125,0.7630331753554502,0.7615658362989324,0.7061611374407583,0.8042704626334519,0.7109004739336493,0.7864768683274022,0.7,0.731042654028436,0.007023738238840589,0.0,0.047508585799069,0.025482804467669505
11,0.07813329696655273,0.0,0.7666034155597723,0.7907883714785269,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",111,0.7582938388625592,0.7473309608540926,0.7772511848341233,0.7663107947805456,0.7914691943127962,0.8125741399762753,0.6872037914691943,0.800711743772242,0.819047619047619,0.8270142180094787,0.026148446982988384,0.0,0.04438857708986507,0.029573986145893436
