,Biodeg SSE (left),Digits SSE (left)
2,35933.08799376139,106237.15054838959
5,33320.04436448797,102148.6331482667
10,29341.168154648476,95254.038238592
15,25458.144904017885,89702.4565429152
20,22380.94237438452,83758.68069086681
25,20054.531443865933,78405.99259302698
30,18427.364452028967,74583.99363562907
35,17148.306571104502,71826.57530508505
40,16431.499539042787,68764.39390167882
