,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1563333511352539,0.0015045642852783204,0.16972732331663884,0.18742479475191356,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",115,0.19505494505494506,0.16468946266573622,0.20441988950276244,0.2662020905923345,0.1977715877437326,0.1870653685674548,0.10084033613445378,0.11944444444444445,0.14929577464788732,0.19972260748959778,0.026028243607743817,0.0007092483424841442,0.0394300674060417,0.047948829137398986
1,0.29065499305725095,0.0011029243469238281,0.41569282136894825,0.43280523362612006,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",54,0.6428571428571429,0.6650383810188416,0.08839779005524862,0.10801393728222997,0.5933147632311978,0.672461752433936,0.5826330532212886,0.5472222222222223,0.16901408450704225,0.17128987517337033,0.11005897130066526,0.00020051005337382694,0.23641654176955645,0.24426968617568004
2,0.38152551651000977,0.0011045455932617188,0.7050639955481358,0.7451348849811101,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",10,0.7664835164835165,0.7662247034193999,0.643646408839779,0.7212543554006968,0.6740947075208914,0.739221140472879,0.7647058823529411,0.7604166666666666,0.676056338028169,0.7385575589459085,0.056923695274718605,0.0004935911477120388,0.05087754253135046,0.016290037312222495
3,0.3626209259033203,0.000899648666381836,0.43795214245965497,0.4693450080214746,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",51,0.5137362637362637,0.5540823447313329,0.7458563535911602,0.8236933797909408,0.6908077994428969,0.7343532684283728,0.15406162464985995,0.14375,0.07605633802816901,0.09084604715672677,0.06456444391920732,0.00020520739041725078,0.27371270557980926,0.30074777988089624
4,0.4058922290802002,0.0008024215698242187,0.36282693377851977,0.399044398960091,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",64,0.11263736263736264,0.12142358688066993,0.22375690607734808,0.2494773519163763,0.7158774373259053,0.7732962447844228,0.10644257703081232,0.08888888888888889,0.6619718309859155,0.7621359223300971,0.1458870650809341,0.0002458855828666719,0.2687260284642907,0.3057907636717017
5,0.4458667278289795,0.0008076667785644531,0.41958820255982193,0.4398833157689633,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",52,0.15934065934065933,0.12002791346824843,0.7292817679558011,0.8125435540069686,0.7771587743732591,0.8171070931849791,0.22969187675070027,0.2611111111111111,0.2,0.18862690707350901,0.09481966454112853,0.0002506546852079353,0.2743583318687829,0.3093768555859772
6,0.4578733444213867,0.0010024070739746093,0.3973288814691152,0.4171793660240074,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",55,0.23901098901098902,0.25331472435450103,0.10220994475138122,0.10313588850174216,0.7381615598885793,0.8101529902642559,0.8067226890756303,0.8104166666666667,0.10422535211267606,0.108876560332871,0.11112429881136647,0.00031741279250692585,0.3099968482106216,0.3254502697881878
7,0.5704432487487793,0.0010025501251220703,0.4730105731775181,0.5156029382236912,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",43,0.07142857142857142,0.07117934403349616,0.6353591160220995,0.7491289198606271,0.7325905292479109,0.780250347705146,0.7310924369747899,0.7458333333333333,0.19718309859154928,0.231622746185853,0.1566556427257504,0.0003170342850008318,0.28231100166537026,0.3019058630831339
8,0.6578611373901367,0.001201963424682617,0.5481357818586533,0.5857072182782693,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",34,0.7225274725274725,0.7732030704815074,0.6850828729281768,0.7846689895470383,0.754874651810585,0.805980528511822,0.16526610644257703,0.13680555555555557,0.4056338028169014,0.427877947295423,0.13683749181549476,0.00024462487951265306,0.22718001113768735,0.264455513761867
9,0.1377664566040039,0.0009027004241943359,0.13077351140790205,0.13439384866272527,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",160,0.10164835164835165,0.10188415910676901,0.1685082872928177,0.18466898954703834,0.10306406685236769,0.10152990264255911,0.1792717086834734,0.18194444444444444,0.10140845070422536,0.10194174757281553,0.018431980088074697,0.00020077287294251807,0.0353508797920704,0.03994673122628369
10,0.21402239799499512,0.0011428356170654296,0.1424596549805231,0.13467459103215554,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",144,0.14560439560439561,0.11653872993719469,0.11878453038674033,0.12195121951219512,0.2479108635097493,0.2329624478442281,0.09523809523809523,0.08472222222222223,0.10422535211267606,0.11719833564493759,0.04436751298917429,0.0004943869318075761,0.05539154009525283,0.05089588409544331
