,Biodeg SSE (left),Digits SSE (left)
2,38670.80541924592,100429.19697377704
5,30357.061480725446,85180.18859010603
10,23440.775916091523,69406.18594429421
15,19347.899846176915,60060.56355916322
20,16261.28081208902,54358.21839065239
25,14482.948256508324,48226.409774130945
30,13103.885451305927,44891.230131091026
35,12007.558335893733,42487.85753902864
40,11285.099719530434,40263.57180872752
