,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.10758652687072753,0.0013105392456054688,0.14913745130773512,0.1631850930448064,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",149,0.1620879120879121,0.19190509420795535,0.10220994475138122,0.1254355400696864,0.18662952646239556,0.1787204450625869,0.1092436974789916,0.12222222222222222,0.18591549295774648,0.19764216366158113,0.029625284375277113,0.0002518732408413394,0.03663065081264461,0.032730599995924745
1,0.3491265296936035,0.0020059585571289063,0.3299944351697273,0.3771092996223574,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",110,0.32142857142857145,0.3705512909979065,0.43646408839779005,0.4585365853658537,0.33147632311977715,0.3998609179415855,0.39215686274509803,0.40694444444444444,0.16619718309859155,0.24965325936199723,0.12799389574168535,0.0005486864627086854,0.09146992842260723,0.06975130757515684
2,0.6321463108062744,0.0022058963775634767,0.5748469671675014,0.609769402917175,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",65,0.5384615384615384,0.5743196092114445,0.5939226519337016,0.6926829268292682,0.532033426183844,0.5528511821974965,0.6414565826330533,0.6041666666666666,0.5690140845070423,0.6248266296809986,0.40086450635944887,0.00024582707854153477,0.0399478061999861,0.0482268284308726
3,0.449693489074707,0.0034082412719726564,0.6338341680578742,0.6665660962019766,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",57,0.5467032967032966,0.5596650383810189,0.6243093922651933,0.6724738675958188,0.6740947075208914,0.7552155771905424,0.6470588235294118,0.5881944444444445,0.6788732394366197,0.7572815533980582,0.07085516706257573,0.0005850407067770715,0.04811828912396124,0.08208882795986523
4,0.5004884243011475,0.003809356689453125,0.7896494156928213,0.8318850313040945,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",2,0.7307692307692307,0.7459874389392882,0.7375690607734806,0.8599303135888502,0.7994428969359332,0.8817802503477051,0.8543417366946778,0.8152777777777778,0.828169014084507,0.8564493758668515,0.15455668970695455,0.0006803231204090996,0.04891172358026819,0.04802848115315986
5,0.437127685546875,0.00521693229675293,0.7334446299387869,0.8214536792689742,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",16,0.8104395604395604,0.7969295184926727,0.6077348066298343,0.802787456445993,0.6963788300835655,0.7969401947148818,0.8067226890756303,0.8506944444444444,0.7464788732394366,0.8599167822468793,0.05407944248475128,0.0006813913829265508,0.07588853713118446,0.027875458381805027
6,0.4685610294342041,0.005715417861938477,0.7323316638842515,0.8582331512936614,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",17,0.75,0.8304256803907886,0.712707182320442,0.8710801393728222,0.6768802228412256,0.8831710709318498,0.7787114845938375,0.8784722222222222,0.7436619718309859,0.8280166435506241,0.12880517343710302,0.0008742107977512566,0.03475353076856291,0.02401190416788019
7,0.43087072372436525,0.006116247177124024,0.6722314969393434,0.8774197704564584,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",37,0.6978021978021978,0.8555478018143754,0.6408839779005525,0.8871080139372822,0.5571030640668524,0.8845618915159944,0.7282913165266106,0.8743055555555556,0.7380281690140845,0.8855755894590847,0.05775261554674204,0.0009191021888316016,0.06676784838641976,0.011827685194539632
8,0.4126735210418701,0.0076199531555175785,0.6460767946577629,0.888577164842201,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",52,0.6043956043956044,0.8799720865317515,0.7016574585635359,0.9114982578397213,0.5905292479108635,0.9019471488178025,0.7086834733893558,0.8666666666666667,0.6253521126760564,0.8828016643550625,0.07697037494342328,0.0008024474571192438,0.04953965704397841,0.016072378073047
9,0.11023707389831543,0.0023061752319335936,0.1018363939899833,0.10629619090043337,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",165,0.10164835164835165,0.10188415910676901,0.10220994475138122,0.1240418118466899,0.10306406685236769,0.10152990264255911,0.10084033613445378,0.10208333333333333,0.10140845070422536,0.10194174757281553,0.035540723320362864,0.002607011801585161,0.0007547535698188662,0.008874682379080182
10,0.30738000869750975,0.0017046451568603516,0.2498608792431831,0.27031407877609803,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",126,0.24175824175824176,0.2316817864619679,0.4088397790055249,0.4473867595818815,0.3008356545961003,0.32962447844228093,0.21288515406162464,0.21458333333333332,0.08169014084507042,0.12829403606102635,0.13547342407272295,0.00040104410097118896,0.10715632846223527,0.10921585995280232
