,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.06851545969645183,0.0008362134297688802,0.6631878557874763,0.6631881544162246,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",115,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.0018905952551524876,0.00023675387742508436,0.0008894169833441252,0.0004451303665783735
1,0.15027165412902832,0.0008354981740315756,0.7125237191650854,0.7058860479913113,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",21,0.7698863636363636,0.7136752136752137,0.7037037037037037,0.7411095305832148,0.6638176638176638,0.662873399715505,0.03527932163494533,0.0002367529170431929,0.04375867424776611,0.032411174717225946
2,0.1131436824798584,0.0006685256958007812,0.7172675521821632,0.717296919051305,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",9,0.8210227272727273,0.7792022792022792,0.6638176638176638,0.662873399715505,0.6666666666666666,0.7098150782361309,0.007556094044938617,0.00023652829408618415,0.07347962064744155,0.04778483376658203
3,0.19092162450154623,0.0026783148447672525,0.6878557874762808,0.6817026202991116,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",80,0.71875,0.7108262108262108,0.6809116809116809,0.6714082503556188,0.6638176638176638,0.662873399715505,0.015866264357046824,0.0027214978956962067,0.022961718143433518,0.02088617665275086
4,0.17492898305257162,0.0006775061289469401,0.6631878557874763,0.6631881544162246,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",115,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.021178033397442626,0.00023009919679516634,0.0008894169833441252,0.0004451303665783735
5,0.15974648793538412,0.0006686846415201823,0.7096774193548387,0.7523765330782876,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",29,0.7926136363636364,0.7621082621082621,0.5811965811965812,0.689900426742532,0.7549857549857549,0.8051209103840683,0.005922495440577574,0.00023658430964115185,0.09207610963349759,0.0475392460680788
6,0.2456968625386556,0.0008368492126464844,0.7030360531309298,0.6992505325838659,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",45,0.7670454545454546,0.7193732193732194,0.6752136752136753,0.6884779516358464,0.6666666666666666,0.689900426742532,0.0616922364941153,0.00023517943483265092,0.04545989310704926,0.014240733866251432
7,0.20270641644795737,0.0008347034454345703,0.7039848197343453,0.6802862241458733,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",44,0.7869318181818182,0.7236467236467237,0.6638176638176638,0.662873399715505,0.6609686609686609,0.6543385490753911,0.007683185864609395,0.0002358561944515694,0.058747379995068835,0.030857852664378096
8,0.2509752909342448,0.0006777445475260416,0.6631878557874763,0.6603432042028533,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",115,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.6543385490753911,0.6638176638176638,0.662873399715505,0.04780014909829044,0.00024905985287770877,0.0008894169833441252,0.0042633962262868036
9,0.05245455106099447,0.0005009969075520834,0.674573055028463,0.6802821715102416,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",97,0.6960227272727273,0.7150997150997151,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.001534132000476001,1.1239159602905075e-07,0.015188799041743993,0.024619721176374888
10,0.08004649480183919,0.0006685256958007812,0.6935483870967742,0.688792706336566,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",59,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.6586059743954481,0.7549857549857549,0.7439544807965861,0.010134821894300124,0.00023652829408618415,0.04341869989237205,0.03906325168101944
11,0.14751935005187988,0.0005009174346923828,0.6622390891840607,0.6631881544162246,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",131,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6609686609686609,0.662873399715505,0.029696716302161818,1.9466795466607238e-07,0.0011827348001408786,0.0004451303665783735
12,0.1263132095336914,0.0006684462229410807,0.6518026565464896,0.6503710187920714,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",149,0.6392045454545454,0.6324786324786325,0.6524216524216524,0.6557610241820768,0.6638176638176638,0.662873399715505,0.012457953381641048,0.00023658438973016158,0.010060148986775548,0.012980744391190365
