,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.08283581733703613,0.0,0.8083491461100569,0.8334986198017686,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",13,0.8909952606635071,0.8825622775800712,0.8815165876777251,0.8849347568208779,0.7725118483412322,0.8244365361803084,0.6919431279620853,0.7722419928825622,0.8047619047619048,0.8033175355450237,0.04571574631388351,0.0,0.07356219337403537,0.044268074848651105
1,0.031253385543823245,0.0,0.8159392789373814,0.8292208485829777,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",4,0.9004739336492891,0.8434163701067615,0.8056872037914692,0.8066429418742586,0.8293838862559242,0.8362989323843416,0.6966824644549763,0.8256227758007118,0.8476190476190476,0.8341232227488151,3.200142237770561e-06,0.0,0.06734166895209612,0.012636086207266218
2,0.0281280517578125,0.0,0.8121442125237192,0.8292214107818501,0.1,"(25,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,)}",9,0.8625592417061612,0.8315539739027283,0.8862559241706162,0.8279952550415184,0.7440758293838863,0.8196915776986952,0.7488151658767772,0.8351126927639383,0.819047619047619,0.8317535545023697,0.006250929894976955,0.0,0.05786431315026029,0.005270312750094961
3,0.03812375068664551,0.0,0.7732447817836812,0.7851031353831105,0.1,"(25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25)}",17,0.8151658767772512,0.7485172004744959,0.8009478672985783,0.7817319098457889,0.7393364928909952,0.8018979833926453,0.7109004739336493,0.8030842230130486,0.8,0.7902843601895735,0.00846432331802607,0.0,0.04069821369774442,0.01991043604381818
4,0.05010766983032226,0.0,0.8140417457305503,0.828514445700022,0.1,"(100, 25, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}",8,0.8672985781990521,0.7995255041518387,0.9052132701421801,0.8706998813760379,0.7535545023696683,0.8422301304863582,0.7535545023696683,0.8185053380782918,0.7904761904761904,0.8116113744075829,0.015185949106545292,0.0,0.06170364336664518,0.02527443680447918
5,0.07097249031066895,0.00020189285278320311,0.8083491461100569,0.8334986198017686,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",13,0.8909952606635071,0.8825622775800712,0.8815165876777251,0.8849347568208779,0.7725118483412322,0.8244365361803084,0.6919431279620853,0.7722419928825622,0.8047619047619048,0.8033175355450237,0.03728284920891085,0.00040378570556640623,0.07356219337403537,0.044268074848651105
6,0.0312537670135498,0.0,0.8159392789373814,0.8292208485829777,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",4,0.9004739336492891,0.8434163701067615,0.8056872037914692,0.8066429418742586,0.8293838862559242,0.8362989323843416,0.6966824644549763,0.8256227758007118,0.8476190476190476,0.8341232227488151,0.009883399521348311,0.0,0.06734166895209612,0.012636086207266218
7,0.021877479553222657,0.0,0.8121442125237192,0.8292214107818501,0.01,"(25,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,)}",9,0.8625592417061612,0.8315539739027283,0.8862559241706162,0.8279952550415184,0.7440758293838863,0.8196915776986952,0.7488151658767772,0.8351126927639383,0.819047619047619,0.8317535545023697,0.007654966939182154,0.0,0.05786431315026029,0.005270312750094961
8,0.034497737884521484,0.0,0.7675521821631879,0.778934408257577,0.01,"(25, 25)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25)}",18,0.8151658767772512,0.7485172004744959,0.8009478672985783,0.7817319098457889,0.7109004739336493,0.767497034400949,0.7109004739336493,0.8054567022538552,0.8,0.7914691943127962,0.0061960186337395185,0.0,0.04660328747456693,0.019618353679483867
9,0.05625629425048828,0.0,0.8206831119544592,0.8301749000691505,0.01,"(100, 25, 100)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}",1,0.8672985781990521,0.800711743772242,0.9052132701421801,0.8695136417556346,0.7867298578199052,0.8493475682087782,0.7535545023696683,0.8185053380782918,0.7904761904761904,0.8127962085308057,0.01875253518600109,0.0,0.05639260301212201,0.02538268298146478
10,0.0609039306640625,0.0,0.8083491461100569,0.8334986198017686,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",13,0.8909952606635071,0.8825622775800712,0.8815165876777251,0.8849347568208779,0.7725118483412322,0.8244365361803084,0.6919431279620853,0.7722419928825622,0.8047619047619048,0.8033175355450237,0.025248470142702737,0.0,0.07356219337403537,0.044268074848651105
11,0.057768964767456056,0.00020046234130859374,0.8159392789373814,0.8294580965070584,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",4,0.9004739336492891,0.8434163701067615,0.8056872037914692,0.8066429418742586,0.8293838862559242,0.8362989323843416,0.6966824644549763,0.8268090154211151,0.8476190476190476,0.8341232227488151,0.024049010501979745,0.0004009246826171875,0.06734166895209612,0.012577302983979452
