,Biodeg log-likelihood,Digits log-likelihood
2,6.899235762540086,3.007293923208905
5,24.932438683022443,42.220627252586965
10,49.230488477972635,56.619793959444614
15,48.944214798051995,64.06383460943944
20,63.40533399084272,75.93688679458681
25,79.3040451471461,86.11409338086168
30,82.38825031750436,97.03268393422825
35,91.40572326233989,105.50122335244734
40,95.75011761532465,113.34999094743178
