,Biodeg log-likelihood,Digits log-likelihood
2,-8.567309700854445,-31.810966499918724
5,11.29025189647697,-26.487294991789447
10,18.54751809064113,-16.763362901593048
15,27.71256874721858,-9.103453527694835
20,37.45378089180353,-8.883077735122294
25,43.79749536110708,-3.6690938809487044
30,48.20928755930141,2.359193085806023
35,57.18890935330434,8.584872436533272
40,63.04834976227711,17.685902857824285
