,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2487997055053711,0.0011033058166503907,0.3105175292153589,0.30496831520786005,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",111,0.33516483516483514,0.30704815073272856,0.3314917127071823,0.3121951219512195,0.3231197771587744,0.34561891515994436,0.24089635854341737,0.24513888888888888,0.3211267605633803,0.31484049930651875,0.07553058956939439,0.00037565710094235555,0.0350511654170636,0.03282085922249988
1,0.4071913242340088,0.003230857849121094,0.6521981079577073,0.6636997848350499,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",62,0.6483516483516484,0.6154919748778785,0.6270718232044199,0.6682926829268293,0.6434540389972145,0.6849791376912379,0.7366946778711485,0.6590277777777778,0.6056338028169014,0.6907073509015257,0.08131136013010573,0.004719885342228564,0.044633929601922716,0.026642577902690385
2,0.44473681449890134,0.001002931594848633,0.80189204229271,0.8258697350842988,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",30,0.8653846153846154,0.8576413119330076,0.7651933701657458,0.8383275261324041,0.7632311977715878,0.8205841446453408,0.8571428571428571,0.8256944444444444,0.7577464788732394,0.7871012482662968,0.08941759836855781,0.00031763867979023254,0.048764077945613854,0.023218929417637174
3,0.4735731601715088,0.0015037059783935547,0.8063439065108514,0.8352293328585629,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",27,0.8214285714285714,0.7613398464759247,0.7513812154696132,0.864808362369338,0.7938718662952646,0.849095966620306,0.8991596638655462,0.8506944444444444,0.7661971830985915,0.8502080443828016,0.08046655222955038,0.0006342946057876583,0.05211113892901857,0.03739088175441126
4,0.5272323608398437,0.0010030746459960937,0.659432387312187,0.7013922770736712,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",57,0.13186813186813187,0.13538032100488487,0.7624309392265194,0.8341463414634146,0.7910863509749304,0.8066759388038943,0.8739495798319328,0.8770833333333333,0.7464788732394366,0.8536754507628294,0.15398735122653642,0.0003171851959674816,0.2694735325473364,0.28394905799830084
5,0.4674366474151611,0.0010740280151367188,0.5525876460767947,0.558802390996198,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",77,0.8214285714285714,0.8220516399162596,0.7348066298342542,0.7993031358885018,0.1532033426183844,0.1474269819193324,0.26330532212885155,0.1909722222222222,0.7859154929577464,0.834257975034674,0.09692829975834735,0.0002245475440822591,0.2838575599772225,0.31860486951148675
6,0.656041145324707,0.0014198780059814452,0.7979966611018364,0.8559028923290579,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",33,0.8626373626373627,0.875785066294487,0.7900552486187845,0.8606271777003485,0.7743732590529248,0.8616133518776078,0.834733893557423,0.8534722222222222,0.7267605633802817,0.8280166435506241,0.08291388823343261,0.0003909200654278417,0.04734117401186563,0.01570846962767264
7,0.6964311122894287,0.0018736839294433594,0.7952142459654981,0.8513052298036875,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",35,0.8379120879120879,0.8534542916957432,0.7707182320441989,0.8773519163763066,0.7938718662952646,0.8678720445062587,0.8123249299719888,0.8083333333333333,0.7605633802816901,0.8495145631067961,0.09927624499529089,0.0005421482770054085,0.028033689992071353,0.023695139042831808
8,0.6567748546600342,0.0014068126678466798,0.5297718419588202,0.5443484616392861,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",84,0.8653846153846154,0.8688066992323796,0.14917127071823205,0.13797909407665504,0.807799442896936,0.8630041724617524,0.2857142857142857,0.25763888888888886,0.5380281690140845,0.5943134535367545,0.18871494529725055,0.00038937360301022366,0.2815774438127226,0.30220838916121096
9,0.12014884948730468,0.0010809898376464844,0.1652754590984975,0.16723407999487602,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",158,0.18681318681318682,0.19330076762037685,0.1850828729281768,0.17491289198606272,0.10306406685236769,0.10152990264255911,0.20168067226890757,0.19375,0.14929577464788732,0.17267683772538142,0.01756798200313985,0.0003475646714852676,0.035495481387420945,0.03402408824446956
10,0.27714247703552247,0.001066112518310547,0.34835837506956036,0.3580336629166414,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",103,0.10989010989010989,0.14445219818562458,0.13812154696132597,0.14076655052264808,0.18384401114206128,0.20931849791376914,0.7198879551820728,0.65,0.6,0.6456310679611651,0.10985458938050371,0.000494347216952174,0.2564409549296228,0.23786334307106652
