,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4378145694732666,0.11563363075256347,0.327212020033389,0.35423444020114436,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",248,0.3791208791208791,0.40753663642707605,0.31767955801104975,0.3630662020905923,0.26740947075208915,0.28372739916550765,0.29411764705882354,0.34305555555555556,0.37746478873239436,0.3737864077669903,0.06878049245996463,0.007651989963972704,0.04466599307109174,0.04098198109851661
1,0.4438319683074951,0.11897368431091308,0.6138007790762382,0.6633702948395466,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",231,0.6978021978021978,0.6622470341939986,0.4143646408839779,0.5205574912891986,0.6685236768802229,0.7260083449235049,0.6218487394957983,0.6958333333333333,0.6676056338028169,0.7122052704576977,0.05021687136184804,0.007394570198726025,0.10307685211686446,0.0745103853198775
2,0.5346392154693603,0.11876144409179687,0.7963272120200334,0.860212557472455,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",202,0.8131868131868132,0.8576413119330076,0.8093922651933702,0.883623693379791,0.7938718662952646,0.8623087621696801,0.8095238095238095,0.8895833333333333,0.7549295774647887,0.8079056865464632,0.10627236700293306,0.007654947501965827,0.021594476861687507,0.02883656665751617
3,0.48467435836791994,0.12476482391357421,0.8430717863105175,0.9042853833344504,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",152,0.8489010989010989,0.9043963712491278,0.8232044198895028,0.9337979094076655,0.8161559888579387,0.8630041724617524,0.8711484593837535,0.8847222222222222,0.856338028169014,0.9355062413314841,0.04290330232172318,0.0004963398323311942,0.02055486021217932,0.02804496080022043
4,0.48932819366455077,0.12474236488342286,0.8647746243739566,0.9190605436894452,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",128,0.9313186813186813,0.9637124912770412,0.7651933701657458,0.8850174216027874,0.8969359331476323,0.9374130737134909,0.8599439775910365,0.9041666666666667,0.8704225352112676,0.90499306518724,0.054363992463563576,0.009897701708905022,0.05578680500561291,0.027961643253699025
5,0.5001968383789063,0.11876158714294434,0.8914858096828047,0.9435387472052532,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",60,0.8928571428571429,0.9504535938590369,0.8453038674033149,0.9463414634146341,0.9415041782729805,0.96105702364395,0.9243697478991597,0.9458333333333333,0.8535211267605634,0.9140083217753121,0.0977878984949565,0.007656134943936627,0.03780730669307532,0.01574719964533858
6,0.48650784492492677,0.11876177787780762,0.8820255982192543,0.9348804270980701,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",79,0.8928571428571429,0.9406838799720866,0.8314917127071824,0.9073170731707317,0.9303621169916435,0.9408901251738526,0.9131652661064426,0.9534722222222223,0.8422535211267606,0.9320388349514563,0.067326518175527,0.007654052007596031,0.03885986709058816,0.015383526954589178
7,0.47496852874755857,0.12828388214111328,0.8987200890372844,0.9512967857108487,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",45,0.8791208791208791,0.9155617585484996,0.8756906077348067,0.9825783972125436,0.9387186629526463,0.9596662030598053,0.9131652661064426,0.9465277777777777,0.8873239436619719,0.9521497919556172,0.015886935988647183,0.006183750080635481,0.023903541492046158,0.021675099019460645
8,0.5534565925598145,0.112762451171875,0.9232053422370617,0.9709319095594442,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",4,0.9230769230769231,0.9755757152826239,0.925414364640884,0.981184668989547,0.9303621169916435,0.9568845618915159,0.9467787114845938,0.9715277777777778,0.8901408450704226,0.9694868238557559,0.07208518387073115,0.006752729485761655,0.018373696699103034,0.008080288554927638
9,0.5092116832733155,0.11907753944396973,0.9143016138007791,0.9679812220957638,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",14,0.8846153846153846,0.9357990230286113,0.9116022099447514,0.9881533101045297,0.9220055710306406,0.9624478442280946,0.9635854341736695,0.9777777777777777,0.8901408450704226,0.9757281553398058,0.05705883627718913,0.0077273219682087516,0.028101414860892793,0.018051109771845514
10,0.5064608573913574,0.1221170425415039,0.9120756816917084,0.968834992280264,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",23,0.9065934065934066,0.9658060013956734,0.9060773480662984,0.9644599303135889,0.9303621169916435,0.9777468706536857,0.9495798319327731,0.9729166666666667,0.8676056338028169,0.963245492371706,0.050907113580316896,0.006392371127181031,0.027390672656056332,0.005579249127942344
