,Biodeg SSE (left),Digits SSE (left)
2,32496.798380020355,63331.375197931484
5,25655.160187234556,49960.11323595235
10,19662.29750424167,38472.79971823701
15,15935.135787624125,34156.24779293167
20,13742.665209440409,31105.941517477157
25,12143.765260288636,29251.343326675375
30,11099.348004417228,27622.730297001428
35,10460.208471086837,26262.673461686758
40,9772.537179594532,25388.13084509528
