,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.14555668830871582,0.000503698984781901,0.6650853889943074,0.6631881544162246,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",113,0.6619318181818182,0.6638176638176638,0.6695156695156695,0.662873399715505,0.6638176638176638,0.662873399715505,0.05180250571737676,2.08152148782552e-06,0.0032237786255157794,0.0004451303665783735
1,0.10535462697347005,0.00081634521484375,0.7504743833017078,0.7224991523237136,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",10,0.84375,0.7507122507122507,0.6638176638176638,0.662873399715505,0.7435897435897436,0.7539118065433855,0.019318840539973365,0.0002287736113639128,0.07363528485257989,0.042182003034079374
2,0.11074527104695638,0.0009075800577799479,0.7267552182163188,0.7144195477528811,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",25,0.7784090909090909,0.7108262108262108,0.6638176638176638,0.662873399715505,0.7378917378917379,0.7695590327169275,0.007713071662282171,0.00030072521709739367,0.04744985907312372,0.04362827924584377
3,0.2292656103769938,0.0015004475911458333,0.6963946869070209,0.7115523080435361,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",62,0.6619318181818182,0.6638176638176638,0.6809116809116809,0.6614509246088194,0.7464387464387464,0.8093883357041252,0.009671713254892135,0.0014209734024522387,0.036200694420431494,0.0691872656631904
4,0.14863157272338867,0.001161654790242513,0.6736242884250474,0.6731407520881204,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",104,0.7301136363636364,0.6538461538461539,0.6666666666666666,0.6728307254623044,0.6239316239316239,0.6927453769559033,0.004134731313467276,0.00024409175154302108,0.04363669013019326,0.015882054380485604
5,0.23884320259094238,0.0006684462229410807,0.75426944971537,0.7661048362802748,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",2,0.7784090909090909,0.7150997150997151,0.6951566951566952,0.7823613086770982,0.7891737891737892,0.8008534850640113,0.07663173450177307,0.00023641590257584224,0.04199995035626598,0.0368477221083734
6,0.18634494145711264,0.0008475780487060547,0.7115749525616698,0.7333818298730579,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",52,0.8096590909090909,0.7022792022792023,0.7094017094017094,0.7980085348506402,0.6153846153846154,0.6998577524893315,0.006184997186337158,0.00022628121324529617,0.07934581346105232,0.045708672422680015
7,0.2600859800974528,0.0011655489603678386,0.6641366223908919,0.6973322850515832,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",117,0.6278409090909091,0.6737891737891738,0.6581196581196581,0.6614509246088194,0.7065527065527065,0.7567567567567568,0.023701109580268574,0.0006193838858946158,0.03242152233049264,0.04232027864029529
8,0.20898079872131348,0.0008357365926106771,0.7409867172675522,0.7234420655473287,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",13,0.8153409090909091,0.7393162393162394,0.6638176638176638,0.662873399715505,0.7435897435897436,0.7681365576102418,0.014808689531460445,0.00023641590257584224,0.06190104631343255,0.044415276254364346
9,0.06787896156311035,0.00047779083251953125,0.6954459203036053,0.730068124804967,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",63,0.7017045454545454,0.7136752136752137,0.6638176638176638,0.7596017069701281,0.7207977207977208,0.716927453769559,0.006648573381967825,1.0669508900221768e-05,0.0236695742230092,0.020925560494883765
10,0.14652212460835776,0.0005013147989908854,0.6470588235294118,0.6451444697058732,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",152,0.6278409090909091,0.6096866096866097,0.6239316239316239,0.65149359886202,0.6894586894586895,0.6742532005689901,0.07437526198689048,4.052336624139774e-07,0.030002399525489203,0.026738795102799542
11,0.0967411994934082,0.0006569226582845052,0.6129032258064516,0.6252500813904321,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",169,0.6619318181818182,0.6524216524216524,0.5413105413105413,0.5903271692745377,0.6353276353276354,0.6330014224751067,0.0018342894902907223,0.00024149415667220318,0.05174099205177939,0.0259357369381201
12,0.13854090372721353,0.0004924138387044271,0.7172675521821632,0.6817066729347431,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",37,0.8238636363636364,0.7193732193732194,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.0034442886807168637,1.3037425139369888e-05,0.07548210913582447,0.02663427041052459
