,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.33441338539123533,0.11563305854797364,0.7039848197343453,0.7158540081968596,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",151,0.7677725118483413,0.7319098457888493,0.7630331753554502,0.7319098457888493,0.6398104265402843,0.7330960854092526,0.6777251184834123,0.7069988137603797,0.6714285714285714,0.6753554502369669,0.02337058265164252,0.007661905305427543,0.05182879426406372,0.022500741025563945
1,0.4094228744506836,0.11563386917114257,0.7381404174573055,0.7533203465393848,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",108,0.7298578199052133,0.7046263345195729,0.7725118483412322,0.7568208778173191,0.6966824644549763,0.7829181494661922,0.7535545023696683,0.767497034400949,0.7380952380952381,0.754739336492891,0.07155617723401721,0.007652511447369466,0.02533533768358831,0.026314948128848298
2,0.3436593055725098,0.12502059936523438,0.7590132827324478,0.7658880212286293,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",79,0.8104265402843602,0.7627520759193357,0.7819905213270142,0.7568208778173191,0.6919431279620853,0.7876631079478055,0.7440758293838863,0.7402135231316725,0.7666666666666667,0.7819905213270142,0.029664678691893046,0.009887022769638583,0.03989649143872337,0.0172317846214541
3,0.3624267578125,0.1219851016998291,0.74573055028463,0.7390958717736812,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",96,0.8246445497630331,0.7354685646500593,0.7630331753554502,0.7378410438908659,0.6872037914691943,0.7591933570581257,0.7440758293838863,0.7520759193357058,0.7095238095238096,0.7109004739336493,0.06261169990493884,0.006302356017540501,0.04747697896775029,0.016625901231591213
4,0.37542548179626467,0.11251182556152343,0.7647058823529411,0.7881856717995424,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",63,0.8388625592417062,0.7698695136417556,0.7914691943127962,0.767497034400949,0.6777251184834123,0.7912218268090154,0.7535545023696683,0.8149466192170819,0.7619047619047619,0.79739336492891,0.03441997888985419,0.006250524596355749,0.05277594853754373,0.017740628645918972
5,0.35434541702270506,0.11564159393310547,0.7533206831119544,0.7931678782052364,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",84,0.6966824644549763,0.7105575326215896,0.8815165876777251,0.8268090154211151,0.7014218009478673,0.8018979833926453,0.7156398104265402,0.8291814946619217,0.7714285714285715,0.79739336492891,0.04741120996950771,0.007650261805962861,0.06943285890552238,0.043237126073668516
6,0.39152679443359373,0.11251745223999024,0.7590132827324478,0.7872378045009641,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",79,0.7251184834123223,0.7212336892052195,0.8720379146919431,0.8244365361803084,0.7345971563981043,0.8173190984578885,0.6872037914691943,0.7805456702253856,0.7761904761904762,0.792654028436019,0.08672934279165583,0.00624807715646935,0.06322780943081076,0.0366586777271787
7,0.42862586975097655,0.1156388759613037,0.7647058823529411,0.8009877834185065,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",63,0.8056872037914692,0.7603795966785291,0.7251184834123223,0.7319098457888493,0.7298578199052133,0.8102016607354685,0.7393364928909952,0.8659549228944247,0.8238095238095238,0.8364928909952607,0.07543489218359622,0.0076611459160965106,0.041447438257992485,0.04896329994681324
8,0.4030881881713867,0.11642827987670898,0.8349146110056926,0.8432221303964063,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",1,0.8909952606635071,0.8362989323843416,0.8672985781990521,0.830367734282325,0.8483412322274881,0.867141162514828,0.7630331753554502,0.863582443653618,0.8047619047619048,0.8187203791469194,0.06360302500772774,0.00871297943566517,0.04572912196509402,0.018974532604929036
9,0.313334321975708,0.12399044036865234,0.6916508538899431,0.6700693753408331,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",165,0.7725118483412322,0.7117437722419929,0.6729857819905213,0.6536180308422301,0.6635071090047393,0.6631079478054567,0.6824644549763034,0.66429418742586,0.6666666666666666,0.6575829383886256,0.009977014318561534,0.009028825921406957,0.040969627606731424,0.02119022165732164
10,0.37006363868713377,0.12179956436157227,0.7371916508538899,0.7445424544478364,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",113,0.7393364928909952,0.6927639383155397,0.8104265402843602,0.7603795966785291,0.6824644549763034,0.7686832740213523,0.7109004739336493,0.7473309608540926,0.7428571428571429,0.7535545023696683,0.07676727471387884,0.006197991331958634,0.04264928528799267,0.026846235312616436
