,Biodeg SSE (left),Digits SSE (left)
2,9595.422632932426,106237.15054838959
5,7589.66329289814,102148.6331482667
10,5020.071136642329,95254.038238592
15,3708.9148671103503,89702.45654291517
20,3133.104335330205,83758.68069086678
25,2785.1692560058605,78405.99259302698
30,2541.47393375279,74583.99363562904
35,2301.8449848207224,71826.57530508502
40,2081.4314721297233,68764.39390167882
