,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07813329696655273,0.0,0.6641366223908919,0.6631877800453132,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",22,0.6682464454976303,0.66429418742586,0.6635071090047393,0.6619217081850534,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.019766233335637973,0.0,0.002147508218912887,0.0007670453186662976
1,0.03125357627868652,0.0,0.6631878557874763,0.6629505321212326,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",32,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6619217081850534,0.6619047619047619,0.6635071090047393,1.0115243642614567e-06,0.0,0.0006400248824124762,0.0005371397605518669
2,0.03437871932983398,0.0,0.3368121442125237,0.3368122199546868,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",169,0.33649289099526064,0.3368920521945433,0.33649289099526064,0.3368920521945433,0.33649289099526064,0.3368920521945433,0.33649289099526064,0.3368920521945433,0.3380952380952381,0.33649289099526064,0.006250643818148124,0.0,0.0006400248824124983,0.0001596644797130731
3,0.03750433921813965,0.0,0.6631878557874763,0.6631877800453132,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",32,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.007655395211651173,0.0,0.0006400248824124762,0.00015966447971305087
4,0.05938148498535156,0.0,0.6631878557874763,0.6631877800453132,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",32,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.026884710977090713,0.0,0.0006400248824124762,0.00015966447971305087
5,0.09376053810119629,0.0,0.6480075901328273,0.6527511201812529,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",160,0.6587677725118484,0.6583629893238434,0.6398104265402843,0.641755634638197,0.6398104265402843,0.6465005931198102,0.6635071090047393,0.6631079478054567,0.638095238095238,0.6540284360189573,0.026148361503094863,0.0,0.010851273752743041,0.007750590691471972
6,0.08843407630920411,0.0,0.627134724857685,0.6489529046004734,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",164,0.6255924170616114,0.6441281138790036,0.5213270142180095,0.6109134045077106,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.021547567966713643,0.0,0.054883609046823975,0.020409985472431492
7,0.12501168251037598,0.0031253814697265623,0.6574952561669829,0.6582069791367998,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",149,0.6540284360189573,0.6595492289442467,0.6635071090047393,0.6571767497034401,0.6587677725118484,0.6595492289442467,0.6587677725118484,0.6571767497034401,0.6523809523809524,0.6575829383886256,0.03125054844195663,0.006250762939453125,0.003937141543548836,0.001105933209311104
8,0.15338683128356934,0.0033260345458984374,0.6603415559772297,0.6622390694484268,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",140,0.6587677725118484,0.6631079478054567,0.6587677725118484,0.6619217081850534,0.6587677725118484,0.66073546856465,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6623222748815166,0.049750020063290615,0.006162811353825481,0.0019950942477172766,0.0008807219915398703
9,0.02869563102722168,0.0006194591522216796,0.6631878557874763,0.6624760362730713,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",32,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6595492289442467,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.004277268533409862,0.0008335342993294601,0.0006400248824124762,0.0014715467150135245
10,0.06919527053833008,0.0031251907348632812,0.6612903225806451,0.6603408049563452,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",132,0.6635071090047393,0.6595492289442467,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6583629893238434,0.6587677725118484,0.6571767497034401,0.6571428571428571,0.6635071090047393,0.032944240385630895,0.0062503814697265625,0.002766293484323862,0.0025389822282481734
