,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.09356455802917481,0.0,0.18196994991652754,0.18088674079154127,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",85,0.18956043956043955,0.17515701325889743,0.23204419889502761,0.23205574912891985,0.1532033426183844,0.16759388038942977,0.17086834733893558,0.16111111111111112,0.16338028169014085,0.16851595006934814,0.027790448973693288,0.0,0.027836260885186828,0.025968863363069587
1,0.08750948905944825,0.0031251430511474608,0.1302170283806344,0.12075852995315609,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",123,0.17307692307692307,0.14305652477320308,0.10220994475138122,0.10104529616724739,0.10027855153203342,0.10152990264255911,0.15126050420168066,0.13402777777777777,0.12394366197183099,0.12413314840499307,0.03508223504086509,0.0062502861022949215,0.02837115558676648,0.016988309245297345
2,0.29996542930603026,0.0031253814697265623,0.18030050083472454,0.17154466937397334,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",87,0.20054945054945056,0.19050942079553385,0.39502762430939226,0.3588850174216028,0.10027855153203342,0.10152990264255911,0.10084033613445378,0.10208333333333333,0.10140845070422536,0.10471567267683772,0.07218728361073455,0.006250762939453125,0.11460581125747175,0.09964850964027444
3,0.4894999980926514,0.0,0.13411240957150808,0.15630948809464373,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",117,0.0989010989010989,0.11165387299371947,0.09944751381215469,0.10104529616724739,0.1977715877437326,0.2573018080667594,0.0896358543417367,0.125,0.18591549295774648,0.18654646324549237,0.06926929745064324,0.0,0.0471798554657296,0.05855298843577817
4,0.3873236656188965,0.005000066757202148,0.13132999443516974,0.13872917377072894,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",122,0.18406593406593408,0.1765526866713189,0.11878453038674033,0.1337979094076655,0.0947075208913649,0.12100139082058414,0.07563025210084033,0.11388888888888889,0.18309859154929578,0.14840499306518723,0.19973171511263124,0.0064351848237218425,0.04481927271275274,0.022270478291751807
5,0.37785778045654295,0.0,0.11463550361713967,0.11196932705882759,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",138,0.09615384615384616,0.09699930216329379,0.09668508287292818,0.09686411149825784,0.116991643454039,0.10500695410292073,0.16806722689075632,0.1638888888888889,0.09577464788732394,0.0970873786407767,0.1587210271781287,0.0,0.02779675657056541,0.02614519882894146
6,0.45004920959472655,0.0031251430511474608,0.2860322760155815,0.2949537487741927,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",61,0.28296703296703296,0.3035589672016748,0.10220994475138122,0.10104529616724739,0.14484679665738162,0.14255910987482615,0.7899159663865546,0.8034722222222223,0.11267605633802817,0.12413314840499307,0.212522086685202,0.0062502861022949215,0.25916925699823296,0.26407172476063434
7,0.2663409233093262,0.003199005126953125,0.10072342793544797,0.10058393339422396,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",186,0.10164835164835165,0.09979064898813678,0.09944751381215469,0.10104529616724739,0.10027855153203342,0.10083449235048679,0.10084033613445378,0.10069444444444445,0.10140845070422536,0.10055478502080444,0.02732384860376392,0.006398010253906251,0.0007976151347958124,0.0004284852080831547
8,0.26991543769836424,0.003125,0.11908736783528102,0.1308679151195092,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",134,0.19230769230769232,0.2505233775296581,0.09944751381215469,0.09895470383275261,0.10306406685236769,0.09944367176634214,0.09803921568627451,0.10625,0.10140845070422536,0.09916782246879334,0.03891726237608314,0.00625,0.03694209918546637,0.059890405622994594
9,0.565558671951294,0.0,0.530328324986088,0.6188252679880456,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",19,0.6978021978021978,0.7648290300069783,0.6464088397790055,0.8090592334494774,0.3983286908077994,0.4951321279554937,0.10084033613445378,0.10138888888888889,0.8056338028169014,0.9237170596393898,0.17731816457791558,0.0,0.2519827390833227,0.2944504929734667
