,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.06994915008544922,0.0020052591959635415,0.6631878557874763,0.6631881544162246,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",74,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.014036924150897204,0.002127123355353528,0.0008894169833441252,0.0004451303665783735
1,0.09235858917236328,0.0008359750111897787,0.6612903225806451,0.6593948874650629,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",107,0.6619318181818182,0.6638176638176638,0.6581196581196581,0.65149359886202,0.6638176638176638,0.662873399715505,0.04449526988535323,0.00023574139276478218,0.002369055090430256,0.005600338077002664
2,0.1004332701365153,0.0010028680165608723,0.6736242884250474,0.6873702312298803,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",64,0.6619318181818182,0.6638176638176638,0.6951566951566952,0.7354196301564723,0.6638176638176638,0.662873399715505,0.008989579275806235,4.49566384116203e-07,0.015234353416917305,0.03397824266182441
3,0.13385597864786783,0.0008354981740315756,0.6584440227703985,0.6925859732877276,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",116,0.6619318181818182,0.6638176638176638,0.6552706552706553,0.7439544807965861,0.6581196581196581,0.6699857752489331,0.018492311036234752,0.0002362472150563784,0.002729689808476553,0.03641020069909779
4,0.1778890291849772,0.0006687641143798828,0.6925996204933587,0.677908002469406,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",32,0.75,0.707977207977208,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.044288600156944524,0.0002365281338701493,0.040645974414800196,0.021262139119458685
5,0.1560826301574707,0.0008354981740315756,0.6783681214421252,0.7091963758630425,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",60,0.6846590909090909,0.6951566951566952,0.6695156695156695,0.7553342816500711,0.6809116809116809,0.6770981507823614,0.009427668618913499,0.0002360785675241707,0.006439630032674353,0.03344704789204859
6,0.16632525126139322,0.0006686846415201823,0.6489563567362429,0.6456442947671018,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",142,0.6619318181818182,0.6638176638176638,0.6609686609686609,0.6529160739687055,0.6239316239316239,0.620199146514936,0.036724235367196746,0.00023658430964115185,0.017686941723268207,0.018534703351456676
7,0.20304028193155924,0.0006686846415201823,0.7438330170777988,0.7547007196130003,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",7,0.6619318181818182,0.6638176638176638,0.7806267806267806,0.786628733997155,0.7891737891737892,0.813655761024182,0.025526791609599947,0.00023641574228364107,0.05810010451321665,0.0652043578324005
8,0.22336077690124512,0.0006683667500813802,0.6631878557874763,0.6631881544162246,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",74,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.662873399715505,0.6638176638176638,0.662873399715505,0.053597751637877555,0.0002361348234985232,0.0008894169833441252,0.0004451303665783735
9,0.04892396926879883,0.0006687641143798828,0.650853889943074,0.6541744173323121,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",134,0.6335227272727273,0.6538461538461539,0.6609686609686609,0.6614509246088194,0.6581196581196581,0.647226173541963,0.007089239850365809,0.00023686530862972825,0.012327367743507409,0.00581186736575928
10,0.06417028109232585,0.0005015532175699869,0.7125237191650854,0.6964055823704948,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",18,0.7670454545454546,0.7193732193732194,0.6638176638176638,0.662873399715505,0.7065527065527065,0.7069701280227596,0.005112474668474534,1.1239159602905075e-07,0.04236314642951395,0.024245475508743987
11,0.08455840746561687,0.0005012353261311849,0.6622390891840607,0.6579724123583773,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",103,0.6619318181818182,0.6638176638176638,0.6638176638176638,0.6614509246088194,0.6609686609686609,0.6486486486486487,0.008687163777749737,1.1239159602905075e-07,0.0011827348001408786,0.0066633220396840895
12,0.114472230275472,0.0010036627451578777,0.6451612903225806,0.6418314400770541,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",154,0.6306818181818182,0.6225071225071225,0.6410256410256411,0.6401137980085349,0.6638176638176638,0.662873399715505,0.004490251304694691,0.0004089014327896502,0.013842812248339819,0.01652416018284853
